"Name","FA","Formula","mz","moleculeNames"
"LPE","16:0e","C21H46NO6P",438.2985,"LPE 16:0e"
"LPE","16:0","C21H44NO7P",452.2777,"LPE 16:0"
"LPE","18:1p","C23H46NO6P",462.2985,"LPE 18:1p"
"LPE","18:1e","C23H48NO6P",464.2777,"LPE 18:1e"
"LPE","18:0e","C23H50NO6P",466.3298,"LPE 18:0e"
"Cer(d18:1)","14:0","C32H63NO3",544.4496,"Cer(d18:1) 14:0"
"DHCer(d18:0)","14:0","C32H65NO3",546.4653,"DHCer(d18:0) 14:0"
"Cer(d18:1)","16:0","C34H67NO3",572.4809,"Cer(d18:1) 16:0"
"DHCer(d18:0)","16:0","C34H69NO3",574.4966,"DHCer(d18:0) 16:0"
"CerP(d18:1)","16:0","C34H68NO6P",616.4706,"CerP(d18:1) 16:0"
"DHCerP(d18:0)","16:0","C34H70NO6P",618.4863,"DHCerP(d18:0) 16:0"
"Cer(d18:1)","22:1","C40H77NO3",654.5592,"Cer(d18:1) 22:1"
"DHCer(d18:0)","22:1","C40H79NO3",656.5748,"DHCer(d18:0) 22:1"
"Cer(d18:1)","22:0","C40H79NO3",656.5748,"Cer(d18:1) 22:0"
"DHCer(d18:0)","22:0","C40H81NO3",658.5905,"DHCer(d18:0) 22:0"
"PA","O-34:1","C37H73O7P",659.5016,"PA O-34:1"
"Cer(d18:1)","24:1","C42H81NO3",682.5905,"Cer(d18:1) 24:1"
"DHCer(d18:0)","24:1","C42H83NO3",684.6061,"DHCer(d18:0) 24:1"
"PA","O-36:1","C39H77O7P",687.5329,"PA O-36:1"
"PE","O-34:2","C39H76NO7P",700.5281,"PE O-34:2"
"PE","O-34:1","C39H78NO7P",702.5438,"PE O-34:1"
"SM(d18:1)","14:0","C37H75N2O6P",709.5051,"SM(d18:1) 14:0"
"DHSM(d18:0)","14:0","C37H77N2O6P",711.5208,"DHSM(d18:0) 14:0"
"PE","34:2","C39H74NO8P",714.5074,"PE 34:2"
"PE","34:1","C39H76NO8P",716.523,"PE 34:1"
"SM(d18:1)","15:0","C38H77N2O6P",723.5208,"SM(d18:1) 15:0"
"DHSM(d18:0)","15:0","C38H79N2O6P",725.5364,"DHSM(d18:0) 15:0"
"PE","O-36:3","C41H78NO7P",726.5438,"PE O-36:3"
"CerP(d18:1)","24:1","C42H82NO6P",726.5802,"CerP(d18:1) 24:1"
"PE","O-36:2","C41H80NO7P",728.5594,"PE O-36:2"
"DHCerP(d18:0)","24:1","C42H84NO6P",728.5958,"DHCerP(d18:0) 24:1"
"PE","O-36:1","C41H82NO7P",730.5751,"PE O-36:1"
"SM(d18:1)","16:1","C39H77N2O6P",735.5208,"SM(d18:1) 16:1"
"SM(d18:1)","16:0","C39H79N2O6P",737.5364,"SM(d18:1) 16:0"
"PE","36:4","C41H74NO8P",738.5074,"PE 36:4"
"DHSM(d18:0)","16:0","C39H81N2O6P",739.5521,"DHSM(d18:0) 16:0"
"PC","30:0","C38H76NO8P",740.4997,"PC 30:0"
"PE","36:2","C41H78NO8P",742.5387,"PE 36:2"
"PE","36:1","C41H80NO8P",744.5543,"PE 36:1"
"PE","O-38:6","C43H76NO7P",748.5281,"PE O-38:6"
"ST(d18:1)","14:0","C38H73NO11S",750.4826,"ST(d18:1) 14:0"
"PE","O-38:5","C43H78NO7P",750.5438,"PE O-38:5"
"DHST(d18:0)","14:0","C38H75NO11S",752.4983,"DHST(d18:0) 14:0"
"PE","O-38:4","C43H80NO7P",752.5594,"PE O-38:4"
"DHSM(d18:0)","17:0","C40H83N2O6P",753.5677,"DHSM(d18:0) 17:0"
"PC","31:0","C39H78NO8P",754.5154,"PC 31:0"
"PE","38:5","C43H76NO8P",764.523,"PE 38:5"
"SM(d18:1)","18:0","C41H83N2O6P",765.5677,"SM(d18:1) 18:0"
"PC","32:1","C40H78NO8P",766.5154,"PC 32:1"
"PE","38:4","C43H78NO8P",766.5387,"PE 38:4"
"DHSM(d18:0)","18:0","C41H85N2O6P",767.5834,"DHSM(d18:0) 18:0"
"PC","32:0","C40H80NO8P",768.531,"PC 32:0"
"PE","O-40:8","C45H78NO7P",774.5438,"PE O-40:8"
"PE","O-40:6","C45H80NO7P",776.5594,"PE O-40:6"
"ST(d18:1)","16:0","C40H77NO11S",778.5139,"ST(d18:1) 16:0"
"PE","O-40:5","C45H82NO7P",778.5751,"PE O-40:5"
"DHST(d18:0)","16:0","C40H79NO11S",780.5296,"DHST(d18:0) 16:0"
"PC","O-34:0","C42H84NO7P",780.5674,"PC O-34:0"
"PC","34:2","C42H80NO8P",792.531,"PC 34:2"
"PC","34:1","C42H82NO8P",794.5467,"PC 34:1"
"PC","O-36:2","C44H86NO7P",806.583,"PC O-36:2"
"PC","36:4","C44H80NO8P",816.531,"PC 36:4"
"PC","36:3","C44H82NO8P",818.5467,"PC 36:3"
"SM(d18:1)","22:1","C45H89N2O6P",819.6147,"SM(d18:1) 22:1"
"PC","36:2","C44H84NO8P",820.5623,"PC 36:2"
"SM(d18:1)","22:0","C45H91N2O6P",821.6303,"SM(d18:1) 22:0"
"PC","36:1","C44H86NO8P",822.578,"PC 36:1"
"DHSM(d18:0)","22:0","C45H93N2O6P",823.646,"DHSM(d18:0) 22:0"
"SM(d18:1)","23:0","C46H93N2O6P",835.646,"SM(d18:1) 23:0"
"PC","38:5","C46H82NO8P",842.5467,"PC 38:5"
"PC","38:4","C46H84NO8P",844.5623,"PC 38:4"
"SM(d18:1)","24:2","C47H91N2O6P",845.6303,"SM(d18:1) 24:2"
"SM(d18:1)","24:1","C47H93N2O6P",847.646,"SM(d18:1) 24:1"
"DHSM(d18:0)","24:1","C47H95N2O6P",849.6616,"DHSM(d18:0) 24:1"
"ST(d18:1)","24:1","C48H91NO11S",888.6235,"ST(d18:1) 24:1"
"DHST(d18:0)","24:1","C48H93NO11S",890.6391,"DHST(d18:0) 24:1"
"DHLacCer(d18:0)","16:0","C46H89NO13",898.6022,"DHLacCer(d18:0) 16:0"
"DHSM3(d18:0)","14:0","C44H85NO16S",914.5511,"DHSM3(d18:0) 14:0"
"SM3(d18:1)","16:0","C46H87NO16S",940.5667,"SM3(d18:1) 16:0"
"DHSM3(d18:0)","16:0","C46H89NO16S",942.5824,"DHSM3(d18:0) 16:0"
"DHLacCer(d18:0)","22:0","C52H101NO13",982.6961,"DHLacCer(d18:0) 22:0"
"DHLacCer(d18:0)","24:1","C54H103NO13",1008.7118,"DHLacCer(d18:0) 24:1"
"DHLacCer(d18:0)","24:0","C54H105NO13",1010.7274,"DHLacCer(d18:0) 24:0"
"SM3(d18:1)","22:0","C52H99NO16S",1024.6606,"SM3(d18:1) 22:0"
"SM3(d18:1)","24:1","C54H101NO16S",1050.6763,"SM3(d18:1) 24:1"
"DHSM3(d18:0)","24:1","C54H103NO16S",1052.6919,"DHSM3(d18:0) 24:1"
"DHTrihexosylceramide (d18:0)","16:0","C52H99NO18",1060.6551,"DHTrihexosylceramide (d18:0) 16:0"
"DHGM3(d18:0)","16:0","C57H106N2O21",1153.721,"DHGM3(d18:0) 16:0"
"DHTrihexosylceramide (d18:0)","24:1","C60H113NO18",1170.7646,"DHTrihexosylceramide (d18:0) 24:1"
"DHGM3(d18:0)","24:1","C65H120N2O21",1263.8305,"DHGM3(d18:0) 24:1"
"DHGM1(d18:0)","16:0","C71H129N3O31",1518.8532,"DHGM1(d18:0) 16:0"
"DHGM1(d18:0)","24:1","C79H143N3O31",1628.9627,"DHGM1(d18:0) 24:1"
"DHSialyl-LeX(d18:0)","16:0","C77H139N3O35",1664.9111,"DHSialyl-LeX(d18:0) 16:0"
"DHSialyl-LeX(d18:0)","24:1","C85H153N3O35",1775.0206,"DHSialyl-LeX(d18:0) 24:1"
